gene	B10	B11	B12	B1	B2	B3	B4	B5	B6	B7	B8	B9
ENSMUSG00000112020.1	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000107164.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100198.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002413.15	236	240	310	274	231	339	321	238	343	148	276	287
ENSMUSG00000047534.17	221	228	216	391	389	432	272	246	335	88	173	177
ENSMUSG00000059303.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101416.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099224.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117652.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110686.1	8	15	9	19	16	11	10	11	14	3	9	7
ENSMUSG00000092258.2	136	135	123	137	170	144	204	205	217	121	148	156
ENSMUSG00000034820.4	388	356	366	471	427	536	490	389	469	168	255	265
ENSMUSG00000005583.16	100	103	121	166	193	300	217	139	227	79	180	200
ENSMUSG00000088500.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111904.1	2	4	2	4	11	8	8	6	8	4	3	0
ENSMUSG00000081534.3	2349	2634	2765	4057	4477	4839	3304	2603	3692	2721	3972	4142
ENSMUSG00000115269.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113332.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086117.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027363.15	396	369	478	501	538	725	628	478	913	271	504	517
ENSMUSG00000101390.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038685.18	333	337	310	627	559	645	497	400	539	187	304	335
ENSMUSG00000104545.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030983.4	522	466	373	678	724	699	698	542	628	243	467	447
ENSMUSG00000051146.2	80	110	113	129	139	155	130	107	194	99	137	126
ENSMUSG00000096605.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084663.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039886.8	513	501	379	728	771	682	626	494	505	375	536	512
ENSMUSG00000095387.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021713.9	80	83	72	131	123	119	145	94	130	42	95	86
ENSMUSG00000052180.15	0	0	0	0	0	0	0	3	0	0	0	0
ENSMUSG00000109128.1	78	80	80	104	125	94	137	105	131	76	117	103
ENSMUSG00000118398.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100225.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116461.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025078.9	182	179	206	317	350	415	289	254	312	102	172	145
ENSMUSG00000110713.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105857.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035566.7	2	3	6	19	9	25	7	12	7	11	24	25
ENSMUSG00000017000.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050910.5	184	184	232	260	287	428	240	157	285	128	172	228
ENSMUSG00000047508.9	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099734.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114078.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087792.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064763.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024842.8	0	0	0	1	0	0	2	1	0	0	0	0
ENSMUSG00000061080.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031103.12	21	10	14	12	7	14	22	16	39	6	13	14
ENSMUSG00000040867.13	3	3	2	1	2	2	4	2	3	0	0	6
ENSMUSG00000103354.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033063.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045005.9	27	35	45	43	30	62	38	21	32	30	60	54
ENSMUSG00000115779.1	51	50	41	71	63	41	253	219	168	33	83	60
ENSMUSG00000042425.18	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000095414.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113842.1	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000002032.17	11	11	9	19	20	17	9	11	31	12	26	20
ENSMUSG00000108986.1	0	0	0	0	0	0	0	0	0	0	0	0
