Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell cycle	15/124	4.43E-06	0.001116276	0	0	4.562092121	56.23776012	GADD45A;PLK1;BUB1B;TTK;CDC6;CDC25A;GADD45G;WEE1;CCNE2;ORC1;CDK1;MCM3;MCM4;E2F2;SKP2
PI3K-Akt signaling pathway	25/354	6.78E-05	0.008544734	0	0	2.533902268	24.32222329	IRS1;FLT4;LAMA4;TGFA;THBS2;ERBB3;SPP1;EIF4EBP1;THEM4;GNG8;PCK2;FGF21;EGF;COL1A1;EFNA1;COL1A2;COL2A1;LPAR5;CCNE2;DDIT4;KIT;IL3RA;ITGA7;ATF4;FGFR1
Glutathione metabolism	Jul-57	0.001477997	0.124151738	0	0	4.592237288	29.92792069	GSTK1;HPGDS;RRM2;NAT8;GSTA3;GSTA2;CHAC1
Prostate cancer	Sep-97	0.002458928	0.133431446	0	0	3.359519944	20.18409643	ZEB1;CCNE2;EGF;TCF7;TGFA;E2F2;ETV5;ATF4;FGFR1
Cytosolic DNA-sensing pathway	Jul-63	0.002653221	0.133431446	0	0	4.098940678	24.31483817	ZBP1;IL33;AIM2;CCL5;IRF7;CGAS;POLR3G
Arginine and proline metabolism	Jun-50	0.003593668	0.133431446	0	0	4.466774342	25.14160489	CKM;AMD1;AZIN2;PYCR1;HOGA1;ALDH18A1
DNA replication	May-36	0.004085988	0.133431446	0	0	5.277898867	29.02945557	FEN1;MCM3;RPA2;MCM4;DNA2
Breast cancer	11/147	0.004673449	0.133431446	0	0	2.659317908	14.26952187	FZD4;GADD45A;EGF;FLT4;TCF7;KIT;E2F2;WNT9A;FGF21;GADD45G;FGFR1
ECM-receptor interaction	Aug-88	0.004765409	0.133431446	0	0	3.280645161	17.53954929	COL1A1;COL2A1;COL1A2;SV2A;LAMA4;SPP1;ITGA7;THBS2
p53 signaling pathway	Jul-73	0.006057801	0.152656573	0	0	3.476091423	17.75034277	RRM2;CCNE2;GADD45A;SESN2;CDK1;BBC3;GADD45G
Human papillomavirus infection	18/331	0.010946172	0.232462649	0	0	1.896075088	8.560334338	RBPJL;FZD4;EGF;LAMA4;TCF7;PARD6G;ISG15;WNT9A;THBS2;COL1A1;COL1A2;COL2A1;PARD6A;CCNE2;MFNG;SPP1;EIF4EBP1;ITGA7
Glyoxylate and dicarboxylate metabolism	30-Apr	0.011633769	0.232462649	0	0	5.027111169	22.3899654	SHMT2;HOGA1;ACSS1;ACAT2
Protein digestion and absorption	8/103	0.011992121	0.232462649	0	0	2.760503976	12.21110438	COL1A1;COL1A2;COL2A1;SLC7A8;COL5A3;COL20A1;SLC3A2;SLC1A5
Protein processing in endoplasmic reticulum	11/171	0.013841487	0.236752303	0	0	2.257604522	9.662739053	PPP1R15A;HSPA8;HSPH1;WFS1;DDIT3;SEL1L;SYVN1;TRAM1L1;ATF6;ATF4;HERPUD1
Colorectal cancer	Jul-86	0.014379745	0.236752303	0	0	2.902124008	12.31062034	MSH6;EGF;GADD45A;TCF7;TGFA;BBC3;GADD45G
Drug metabolism	8/108	0.015625477	0.236752303	0	0	2.62179966	10.9036782	CDA;GSTK1;HPGDS;RRM2;GSTA3;GSTA2;TK1;ADH7
FoxO signaling pathway	9/131	0.01682055	0.236752303	0	0	2.418994647	9.88196542	IRS1;GADD45A;EGF;PLK1;SLC2A4;SKP2;FBXO32;PCK2;GADD45G
