sample	IFNGR1.3459	type
TCGA-3N-A9WB	596.527	low
TCGA-3N-A9WC	768.443	low
TCGA-3N-A9WD	1317.73	high
TCGA-BF-A1PU	422.403	low
TCGA-BF-A1PV	367.005	low
TCGA-BF-A1PX	1384.43	high
TCGA-BF-A1PZ	416.775	low
TCGA-BF-A1Q0	1055.02	high
TCGA-BF-A3DJ	1026.02	high
TCGA-BF-A3DL	407.253	low
TCGA-BF-A3DM	1040.68	high
TCGA-BF-A3DN	920.623	high
TCGA-BF-A5EO	261.61	low
TCGA-BF-A5EP	646.124	low
TCGA-BF-A5EQ	1154.04	high
TCGA-BF-A5ER	203.93	low
TCGA-BF-A5ES	998.844	high
TCGA-BF-A9VF	329.557	low
TCGA-BF-AAOU	1174.85	high
TCGA-BF-AAOX	1206.88	high
TCGA-BF-AAP0	1581.66	high
TCGA-BF-AAP1	671.091	low
TCGA-BF-AAP2	627.974	low
TCGA-BF-AAP4	529.894	low
TCGA-BF-AAP6	589.002	low
TCGA-BF-AAP7	420.838	low
TCGA-BF-AAP8	794.904	low
TCGA-D3-A1Q1	545.487	low
TCGA-D3-A1Q3	1070.62	high
TCGA-D3-A1Q4	1014.53	high
TCGA-D3-A1Q5	1059.97	high
TCGA-D3-A1Q6	1157.92	high
TCGA-D3-A1Q7	1419.46	high
TCGA-D3-A1Q8	1204.21	high
TCGA-D3-A1Q9	995.717	high
TCGA-D3-A1QA	1547.8	high
TCGA-D3-A1QB	912.133	high
TCGA-D3-A2J6	815.196	low
TCGA-D3-A2J7	734.683	low
TCGA-D3-A2J8	690.566	low
TCGA-D3-A2J9	1577.47	high
TCGA-D3-A2JA	1177.93	high
TCGA-D3-A2JB	1321.74	high
TCGA-D3-A2JC	922.891	high
TCGA-D3-A2JD	277.901	low
TCGA-D3-A2JE	452.064	low
TCGA-D3-A2JF	1140.83	high
TCGA-D3-A2JG	912.538	high
TCGA-D3-A2JH	1104.29	high
TCGA-D3-A2JK	538.76	low
TCGA-D3-A2JL	1156.53	high
TCGA-D3-A2JN	592.148	low
TCGA-D3-A2JO	832.905	low
TCGA-D3-A2JP	981.618	high
TCGA-D3-A3BZ	710.567	low
TCGA-D3-A3C1	510.887	low
TCGA-D3-A3C3	582.125	low
TCGA-D3-A3C6	705.68	low
TCGA-D3-A3C7	1627.11	high
TCGA-D3-A3C8	1194.82	high
TCGA-D3-A3CB	2450.45	high
TCGA-D3-A3CC	1120.7	high
TCGA-D3-A3CE	1080.43	high
TCGA-D3-A3CF	1615.53	high
TCGA-D3-A3ML	459.957	low
TCGA-D3-A3MO	814.599	low
TCGA-D3-A3MR	776.955	low
TCGA-D3-A3MU	509.695	low
TCGA-D3-A3MV	580.929	low
TCGA-D3-A51E	637.457	low
TCGA-D3-A51F	1261.67	high
TCGA-D3-A51G	742.205	low
TCGA-D3-A51H	3489.78	high
TCGA-D3-A51J	916.292	high
TCGA-D3-A51K	233.645	low
TCGA-D3-A51N	900.816	high
TCGA-D3-A51R	597.842	low
TCGA-D3-A51T	781.955	low
TCGA-D3-A5GL	891.422	low
TCGA-D3-A5GN	1197.25	high
TCGA-D3-A5GO	1293.51	high
TCGA-D3-A5GR	1453.03	high
TCGA-D3-A5GS	1104.24	high
TCGA-D3-A5GT	568.876	low
TCGA-D3-A5GU	770.813	low
TCGA-D3-A8GB	1897.57	high
TCGA-D3-A8GC	1168.25	high
TCGA-D3-A8GD	1209.68	high
TCGA-D3-A8GE	2026.85	high
TCGA-D3-A8GI	296.164	low
TCGA-D3-A8GJ	1056.95	high
TCGA-D3-A8GK	278.892	low
TCGA-D3-A8GL	577.586	low
TCGA-D3-A8GM	1642.6	high
TCGA-D3-A8GN	700.113	low
TCGA-D3-A8GO	1317.56	high
TCGA-D3-A8GP	396.73	low
TCGA-D3-A8GQ	748.653	low
TCGA-D3-A8GR	860.771	low
TCGA-D3-A8GS	3797.26	high
TCGA-D3-A8GV	891.731	low
TCGA-D9-A148	836.808	low
TCGA-D9-A149	496.682	low
TCGA-D9-A1JW	447.182	low
TCGA-D9-A1JX	682.131	low
TCGA-D9-A1X3	834.802	low
TCGA-D9-A3Z1	2413.17	high
TCGA-D9-A3Z3	548.582	low
