sample	CD3D.915	CD4.920	CD8A.925	GZMB.3002	PRF1.5551	TNF.7124	IFNG.3458	IFNGR1.3459	HLA.A.3105	HLA.B.3106	HLA.C.3107	HLA.DRA.3122	type
TCGA-3N-A9WB	2.4233	107.028	6.462	2.4233	11.3086	1.6155	0	596.527	41634.5	21357.7	12594.2	487.48	low
TCGA-BF-A1PU	0.974	177.273	5.8442	1.2987	23.7013	0.3247	0	422.403	33676.6	8847.57	24075.2	640.584	low
TCGA-BF-A1PV	10.4603	175.135	8.9659	9.8625	6.575	9.8625	0.2989	367.005	3199.53	4684.58	3431.98	1347.58	low
TCGA-BF-A1PZ	48.2774	402.108	137.194	163.166	145.443	6.7222	3.3611	416.775	46855.1	47665.6	46427.4	3108.09	low
TCGA-BF-A3DJ	48.9402	1487.16	153.714	84.0944	127.176	21.0236	6.5483	1026.02	83978.6	90168.2	65943.2	24016.9	high
TCGA-BF-A3DL	17.1527	678.265	45.5771	52.4381	189.169	6.371	0	407.253	32026.9	11516.9	18413.5	1926.49	low
TCGA-BF-A3DM	5.7655	1473.73	24.0231	7.3671	14.4138	4.8046	0.6406	1040.68	31540.2	39481.9	29274.3	923.767	high
TCGA-BF-A3DN	14.498	349.112	33.0555	33.6354	36.535	2.6096	0.29	920.623	15017.3	10820.4	14802.5	2935.27	high
TCGA-BF-A5EO	188.855	853.457	297.73	188.855	316.305	56.7595	2.064	261.61	40021.7	32834.2	28372.7	8281.22	low
TCGA-BF-A5EP	10.5275	196.074	33.337	28.0733	58.7784	0.4386	1.3159	646.124	19405.6	11836	6011.99	1433.05	low
TCGA-BF-A5EQ	171.86	1140.92	498.961	216.902	394.446	22.7397	13.1191	1154.04	66408.1	66255.5	47836.6	15390	high
TCGA-BF-A5ER	15.4103	341.081	6.6778	20.0334	44.6899	2.0547	0	203.93	36471.9	6747.01	3455.12	1518.43	low
TCGA-BF-A5ES	94.2197	1010.98	114.451	41.0405	100	20.2312	2.3121	998.844	165181	83459.2	33470.8	11095.4	high
TCGA-BF-A9VF	15.539	99.0612	36.9051	24.6034	38.8475	3.2373	0.6475	329.557	10485.3	2874.85	2473.16	1127.23	low
TCGA-BF-AAOX	32.7511	126.092	48.5808	29.476	30.5677	8.7336	2.1834	1206.88	253983	16755	17737.4	2887.01	high
TCGA-BF-AAP1	18.4526	360.958	25.2509	15.8627	25.2509	3.561	0.6475	671.091	31456.6	32580	17678.4	3744.58	low
TCGA-BF-AAP2	140.952	860.13	208.003	111.752	158.616	10.8147	6.1283	627.974	62183.3	61501.5	49510	8350.04	low
TCGA-BF-AAP6	17.1647	407.184	15.8932	22.5683	29.2435	35.9186	0.6357	589.002	9936.43	4181.89	2847.03	3760.97	low
TCGA-BF-AAP8	69.6085	724.674	197.017	19.2666	58.4214	4.972	1.8645	794.904	79270.3	47889.4	19660	3959.6	low
TCGA-D3-A1Q1	2.149	421.203	34.0258	3.9398	50.1433	0.3582	0.3582	545.487	16255.6	3045.08	4285.87	674.069	low
TCGA-D3-A1Q9	85.6672	1073.48	543.328	112.356	406.919	2.9654	16.4745	995.717	14522.2	13171.9	13107.5	6577.27	high
TCGA-D3-A1QA	39.3035	482.587	167.164	30.8458	124.627	5.2239	7.4627	1342.29	71649.4	16756.1	45330.2	2891.04	high
TCGA-D3-A1QA	78.966	722.025	256.02	89.5892	159.348	3.8952	13.4561	1547.8	35505.9	16318.5	25969.8	7860.13	high
TCGA-D3-A2J6	165.229	600.199	906.768	614.466	1147.31	10.6171	43.7956	815.196	41526.5	23685.2	13542.4	6829.13	low
TCGA-D3-A2J7	134.505	1362.37	600.178	118.711	260.858	14.2657	11.7183	734.683	47058.4	48686.7	34621.9	11094.1	low
TCGA-D3-A2JC	158.66	1613.65	715.785	158.66	396.851	7.2669	27.8563	922.891	28034.6	28303.8	14150.8	24503.4	high
TCGA-D3-A2JE	20.1296	136.813	16.7178	19.7885	21.4944	1.3647	0.3412	452.064	1586.15	1945.14	1221.36	796.315	low
TCGA-D3-A2JG	31.1562	232.357	73.9489	26.6517	23.6486	2.2523	1.5015	912.538	51115.3	13810.4	12445.3	2686.94	high
TCGA-D3-A2JK	15.5039	1282.95	34.8837	31.0078	100.775	7.7519	0	538.76	90864.3	18058.2	14379.8	3065.89	low
