gene	IFNGR1|3459	ENO1|2023	FASN|2194	FKBP4|2288	ODC1|4953	GADD45A|1647	JUNB|3726	VEGFA|7422
TCGA-3N-A9WB	596.527	37348.9	28535.5	1834.81	1139.34	224.96	1374.39	699.111
TCGA-BF-A1PU	422.403	21440.9	16638.6	5363.64	1162.99	240.909	750.974	175.325
TCGA-BF-A1PV	367.005	26102.5	6440.53	4000.0	953.078	527.794	1236.4	690.078
TCGA-BF-A1PZ	416.775	56382.9	41335.6	1676.27	1460.85	506.302	1582.16	399.358
TCGA-BF-A3DJ	1026.02	33708.4	12063.1	2339.82	1376.53	765.121	1468.21	3599.52
TCGA-BF-A3DL	407.253	64446.9	10301.4	5489.34	1526.59	89.1938	1573.63	815.486000000001
TCGA-BF-A3DM	1040.68	76201.5	6322.55	2076.23	1772.58	451.634	1120.12	9785.70999999999
TCGA-BF-A3DN	920.623	23429.1	8686.92	1565.49	976.586	516.709	1827.33	1561.44
TCGA-BF-A5EO	261.61	117167.0	44302.4	2901.44	1485.04	750.258	2031.99	752.322
TCGA-BF-A5EP	646.124	62537.6	16362.8	7342.91	1675.18	700.515	1023.8	2020.84
TCGA-BF-A5EQ	1154.04	27055.4	3423.2	3501.48	1276.48	726.796	1821.36	398.382
TCGA-BF-A5ER	203.93	64979.6	18050.1	12554.8	1308.85	333.376	2175.42	748.427
TCGA-BF-A5ES	998.844	33522.5	16612.7	2322.54	936.416	267.052	3361.85	209.827
TCGA-BF-A9VF	329.557	48456.5	41552.6	5072.84	3491.74	483.004	1500.81	757.527
TCGA-BF-AAOX	1206.88	60989.6	19375.0	4456.88	1967.79	660.48	2302.95	146.834
TCGA-BF-AAP1	671.091	18771.4	13127.5	4394.3	1055.36	223.049	904.176	1470.06
TCGA-BF-AAP2	627.974	33866.6	8986.66	2482.7	1138.07	452.415	899.423	186.734
TCGA-BF-AAP6	589.002	33393.5	10937.1	1807.06	1174.51	620.788	1713.92	782.263
TCGA-BF-AAP8	794.904	8906.76999999999	5376.63	3036.05	726.538	454.941	2597.89	1060.91
TCGA-D3-A1Q1	545.487	35811.6	9497.13	22241.4	6198.42	119.269	898.996999999999	2445.56
TCGA-D3-A1Q9	995.717	30726.9	7137.73	3883.03	1617.46	322.24	1591.76	462.933
TCGA-D3-A1QA	1342.29	27386.3	9165.67	3109.2	2126.62	271.393	665.92	1599.25
TCGA-D3-A1QA	1547.8	77406.9	18436.6	2942.99	2768.06	542.493	958.215	2020.54
TCGA-D3-A2J6	815.196	59273.4	12907.8	4064.03	4626.41	448.905	1926.01	561.048
TCGA-D3-A2J7	734.683	21303.8	4673.54	2124.57	1324.16	803.974	1360.34	323.526
TCGA-D3-A2JC	922.891	46169.6	4741.62	2854.26	1415.42	516.754	18798.1	668.147
TCGA-D3-A2JE	452.064	55860.1	7330.6	6190.72	3232.34	158.649	862.163	1748.55
TCGA-D3-A2JG	912.538000000001	43272.9	2762.39	4430.93	2511.26	643.018	1606.23	1933.18
TCGA-D3-A2JK	538.76	62189.9	66674.4	2903.1	313.954	368.217	1271.32	1042.64
TCGA-D3-A3C1	510.887	99591.5000000001	3331.45	1944.76	320.565	962.903	8534.68	791.936
TCGA-D3-A3C6	705.68	31963.5	6218.48	5096.44	1448.19	151.685	1104.24	2118.29
TCGA-D3-A3CC	1120.7	33039.2	5830.91	3042.08	2131.86	648.358	1095.16	296.638
TCGA-D3-A3ML	459.957	16511.6	11347.9	4855.36	1809.2	619.38	392.104	447.947
TCGA-D3-A3MO	814.599	73307.1	10073.3	4031.19	2910.56	353.324	2153.87	9723.44000000001
TCGA-D3-A3MV	580.929	44623.4	16897.3	5495.03	6573.15	851.617	2065.7	1138.68
TCGA-D3-A51N	900.816	29325.8	5365.35	3531.7	1897.05	1636.53	3551.79	4197.11
TCGA-D3-A51T	781.955	39211.0	3819.05	2012.03	358.396	461.654	2027.57	3068.67
TCGA-D3-A5GL	891.422	38547.7	3622.27	2419.46	1537.4	605.678	1389.23	777.043
TCGA-D3-A5GS	1104.24	25101.7	15236.9	3724.19	853.367	433.416	1362.59	3366.08
TCGA-D3-A5GT	568.876	18784.8	19927.0	4956.07	1191.36	609.829	1043.93	1567.39
TCGA-D3-A8GC	1168.25	53659.4	16646.4	6643.63	10384.9	1357.48	2008.32	1410.7
TCGA-D3-A8GI	296.164	118181.0	58029.4	4598.57	1187.33	206.958	9348.79999999999	1298.84
TCGA-D3-A8GK	278.892	69123.7	21798.5	4524.58	1295.88	195.122	1777.55	911.250000000001
TCGA-D3-A8GL	577.586	27381.0	8948.28	5207.31	239.737	314.45	1146.14	2032.43
TCGA-D3-A8GM	1642.6	17360.5	7236.1	1923.3	1702.87	957.928000000001	1098.11	1334.12
TCGA-D3-A8GP	396.73	45516.1	15902.5	4658.31	760.218	260.49	693.733	5900.27
TCGA-D3-A8GR	860.771	43746.0	5112.89	2901.22	399.812	1286.92	1336.78	3202.26
TCGA-D3-A8GV	891.731	65561.0	36205.7	5773.98	2913.68	874.065	1348.73	1513.48
TCGA-D9-A148	836.808	26929.9	21579.4	4303.95	2218.89	367.116	958.422	736.22
TCGA-D9-A149	496.682	23909.7	7552.16	2574.73	582.692	434.563	806.477	484.205
TCGA-D9-A1JW	447.182	34623.7	13481.8	5573.77	1181.48	202.866	1595.97	212.976
TCGA-D9-A1JX	682.131	47923.0	10367.7	3517.53	1026.46	212.028	765.292	2867.7
TCGA-D9-A1X3	834.802	25943.7	7911.04	2623.06	571.479	353.887	647.995	292.016
TCGA-D9-A3Z4	1335.52	31772.6	11447.5	4890.73	1397.68	515.058	1267.95	2080.31
TCGA-D9-A4Z2	1540.46	25803.2	12261.4	2753.58	1888.44	480.187	441.891	1988.01
TCGA-D9-A4Z3	1012.91	13692.3	10635.5	2710.11	1247.45	451.041	1683.88	1930.02
TCGA-D9-A4Z6	818.681	25223.3	3455.54	5202.3	1414.09	143.357	7868.63	831.169
TCGA-D9-A6EA	980.804999999999	61424.9	34860.5	2170.17	1818.01	667.405	844.223	1532.3
TCGA-D9-A6EC	639.686	55859.8	3407.48	4392.9	3654.48	477.594	1161.98	890.865
TCGA-D9-A6EG	1274.64	28330.0	16452.7	2632.75	1274.94	971.761000000001	640.271	1047.26
TCGA-DA-A1HW	1285.6	43626.0	21914.9	4683.73	3810.03	222.492	1013.76	597.304
TCGA-DA-A1I2	1315.33	19756.0	2889.9	2609.16	550.958	385.928	876.344	2587.19
TCGA-DA-A1I8	747.341	74497.6000000001	17074.6	3723.36	7973.61	3916.79	1979.97	8345.26
TCGA-DA-A1IA	112.248	68095.5	88000.4000000001	5576.32	1352.7	261.032	984.703	208.65
TCGA-DA-A1IC	663.057	22561.6	9205.78	2372.64	1158.04	222.623	712.395	397.112
TCGA-DA-A3F3	854.587	41133.6	23680.6	3623.49	845.932	257.069	867.282	532.025
TCGA-DA-A3F5	537.975	40122.2	15962.4	5558.54	16175.2	1964.79	3985.76	1268.2
TCGA-DA-A95W	512.033	33260.1	13888.4	5047.25	551.073	722.251	398.915	2113.2
TCGA-DA-A95X	759.895	35115.1	9862.94	1494.6	1105.66	1370.62	2061.83	3781.49
TCGA-DA-A95Y	420.948	59726.7	10275.3	3954.11	3442.39	307.232	1099.25	704.239
